V,ALT,INDEX,TIME
0,0.1,0,-9.64
0,0.1,1,-9.6
0,0.1,2,-9.56
0,0.1,3,-9.52
0,0.1,4,-9.48
0,0.1,5,-9.44
0,0.1,6,-9.4
0,0.1,7,-9.36
0,0.1,8,-9.32
0,0.1,9,-9.28
0,0.1,10,-9.24
0,0.1,11,-9.2
0,0.1,12,-9.16
0,0.1,13,-9.12
0,0.1,14,-9.08
0,0.1,15,-9.04
0,0.1,16,-9
0,0.1,17,-8.96
0,0.1,18,-8.92
0,0.1,19,-8.88
0,0.1,20,-8.84
0,0.1,21,-8.8
0,0.1,22,-8.76
0,0.1,23,-8.72
0,0.1,24,-8.68
0,0.1,25,-8.64
0,0.1,26,-8.6
0,0.1,27,-8.56
0,0.1,28,-8.52
0,0.1,29,-8.48
0,0.1,30,-8.44
0,0.1,31,-8.4
0,0.1,32,-8.36
0,0.1,33,-8.32
0,0.1,34,-8.28
0,0.1,35,-8.24
0,0.1,36,-8.2
0,0.1,37,-8.16
0,0.1,38,-8.12
0,0.1,39,-8.08
0,0.1,40,-8.04
0,0.1,41,-8
0,0.1,42,-7.96
0,0.1,43,-7.92
0,0.1,44,-7.88
0,0.1,45,-7.84
0,0.1,46,-7.8
0,0.1,47,-7.76
0,0.1,48,-7.72
0,0.1,49,-7.68
0,0.1,50,-7.64
0,0.1,51,-7.6
0,0.1,52,-7.56
0,0.1,53,-7.52
0,0.1,54,-7.48
0,0.1,55,-7.44
0,0.1,56,-7.4
0,0.1,57,-7.36
0,0.1,58,-7.32
0,0.1,59,-7.28
0,0.1,60,-7.24
0,0.1,61,-7.2
0,0.1,62,-7.16
0,0.1,63,-7.12
0,0.1,64,-7.08
0,0.1,65,-7.04
0,0.1,66,-7
0,0.1,67,-6.96
0,0.1,68,-6.92
0,0.1,69,-6.88
0,0.1,70,-6.84
0,0.1,71,-6.8
0,0.1,72,-6.76
0,0.1,73,-6.72
0,0.1,74,-6.68
0,0.1,75,-6.64
0,0.1,76,-6.6
0,0.1,77,-6.56
0,0.1,78,-6.52
0,0.1,79,-6.48
0,0.1,80,-6.44
0,0.1,81,-6.4
0,0.1,82,-6.36
0,0.1,83,-6.32
0,0.1,84,-6.28
0,0.1,85,-6.24
0,0.1,86,-6.2
0,0.1,87,-6.16
0,0.1,88,-6.12
0,0.1,89,-6.08
0,0.1,90,-6.04
0,0.1,91,-6
0,0.1,92,-5.96
0,0.1,93,-5.92
0,0.1,94,-5.88
0,0.1,95,-5.84
0,0.1,96,-5.8
0,0.1,97,-5.76
0,0.1,98,-5.72
0,0.1,99,-5.68
0,0.1,100,-5.64
0,0.1,101,-5.6
0,0.1,102,-5.56
0,0.1,103,-5.52
0,0.1,104,-5.48
0,0.1,105,-5.44
0,0.1,106,-5.4
0,0.1,107,-5.36
0,0.1,108,-5.32
0,0.1,109,-5.28
0,0.1,110,-5.24
0,0.1,111,-5.2
0,0.1,112,-5.16
0,0.1,113,-5.12
0,0.1,114,-5.08
0,0.1,115,-5.04
0,0.1,116,-5
0,0.1,117,-4.96
0,0.1,118,-4.92
0,0.1,119,-4.88
0,0.1,120,-4.84
0,0.1,121,-4.8
0,0.1,122,-4.76
0,0.1,123,-4.72
0,0.1,124,-4.68
0,0.1,125,-4.64
0,0.1,126,-4.6
0,0.1,127,-4.56
0,0.1,128,-4.52
0,0.1,129,-4.48
0,0.1,130,-4.44
0,0.1,131,-4.4
0,0.1,132,-4.36
0,0.1,133,-4.32
0,0.1,134,-4.28
0,0.1,135,-4.24
0,0.1,136,-4.2
0,0.1,137,-4.16
0,0.1,138,-4.12
0,0.1,139,-4.08
0,0.1,140,-4.04
0,0.1,141,-4
0,0.1,142,-3.96
0,0.1,143,-3.92
0,0.1,144,-3.88
